text,label
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Manufactured & Packed by Nestlé India Ltd., MGR Road, New Delhi",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Manufactured & Packed by Nestlé India Ltd., MGR Road, New Delhi",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"निर्माता: डाबर इंडिया लिमिटेड, बद्दी, हिमाचल प्रदेश",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Manufactured & Packed by Nestlé India Ltd., MGR Road, New Delhi",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Mfd. by: Haldiram Snacks Pvt. Ltd., Noida Sector 63, UP",manufacturer
"Mfd. by: Amul Dairy Foods Pvt. Ltd., Anand, Gujarat",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Mfd. by Dabur India Limited, Village Billanwali, Baddi, HP",manufacturer
"Manufactured by Parle Products Pvt Ltd, Vile Parle East, Mumbai",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"Packed by: Britannia Industries Ltd., Off Old Airport Road, Bengaluru",manufacturer
"Imported & Marketed by Global Consumer Products Ltd, Cyber City Gurgaon",manufacturer
"उत्पादक एवं पैककर्ता: पतंजलि आयुर्वेद लिमिटेड, हरिद्वार, उत्तराखंड",manufacturer
